symbol,open_time,close_time,available_at_assumed,open,high,low,close,volume
ETHUSDT,2025-02-15T00:00:00+00:00,2025-02-15T23:59:59.999000+00:00,2025-02-16T00:00:00.999000+00:00,2725.95,2739.0,2662.28,2693.04,202971.4295
ETHUSDT,2025-02-16T00:00:00+00:00,2025-02-16T23:59:59.999000+00:00,2025-02-17T00:00:00.999000+00:00,2693.04,2727.31,2651.26,2661.41,191231.5314
ETHUSDT,2025-02-17T00:00:00+00:00,2025-02-17T23:59:59.999000+00:00,2025-02-18T00:00:00.999000+00:00,2661.41,2849.7,2637.71,2744.05,639739.8197
ETHUSDT,2025-02-18T00:00:00+00:00,2025-02-18T23:59:59.999000+00:00,2025-02-19T00:00:00.999000+00:00,2744.05,2756.93,2605.44,2671.99,604863.8737
ETHUSDT,2025-02-19T00:00:00+00:00,2025-02-19T23:59:59.999000+00:00,2025-02-20T00:00:00.999000+00:00,2672.0,2736.7,2656.03,2715.5,326154.0202
ETHUSDT,2025-02-20T00:00:00+00:00,2025-02-20T23:59:59.999000+00:00,2025-02-21T00:00:00.999000+00:00,2715.51,2770.59,2707.18,2738.04,336735.2544
ETHUSDT,2025-02-21T00:00:00+00:00,2025-02-21T23:59:59.999000+00:00,2025-02-22T00:00:00.999000+00:00,2738.04,2845.32,2616.72,2663.0,890440.0604
ETHUSDT,2025-02-22T00:00:00+00:00,2025-02-22T23:59:59.999000+00:00,2025-02-23T00:00:00.999000+00:00,2663.0,2798.07,2653.33,2763.22,444989.6669
ETHUSDT,2025-02-23T00:00:00+00:00,2025-02-23T23:59:59.999000+00:00,2025-02-24T00:00:00.999000+00:00,2763.23,2857.34,2745.41,2819.69,611002.1222
ETHUSDT,2025-02-24T00:00:00+00:00,2025-02-24T23:59:59.999000+00:00,2025-02-25T00:00:00.999000+00:00,2819.7,2839.95,2470.33,2513.52,876876.3707
ETHUSDT,2025-02-25T00:00:00+00:00,2025-02-25T23:59:59.999000+00:00,2025-02-26T00:00:00.999000+00:00,2513.52,2533.49,2313.49,2495.7,1322016.8718
ETHUSDT,2025-02-26T00:00:00+00:00,2025-02-26T23:59:59.999000+00:00,2025-02-27T00:00:00.999000+00:00,2495.69,2507.5,2253.77,2336.37,863087.2133
ETHUSDT,2025-02-27T00:00:00+00:00,2025-02-27T23:59:59.999000+00:00,2025-02-28T00:00:00.999000+00:00,2336.38,2381.6,2230.57,2307.72,637583.9106
ETHUSDT,2025-02-28T00:00:00+00:00,2025-02-28T23:59:59.999000+00:00,2025-03-01T00:00:00.999000+00:00,2307.72,2314.18,2076.26,2237.59,1291539.0557
ETHUSDT,2025-03-01T00:00:00+00:00,2025-03-01T23:59:59.999000+00:00,2025-03-02T00:00:00.999000+00:00,2237.59,2281.14,2142.73,2217.39,446430.7271
ETHUSDT,2025-03-02T00:00:00+00:00,2025-03-02T23:59:59.999000+00:00,2025-03-03T00:00:00.999000+00:00,2217.4,2550.58,2172.04,2518.11,1266684.7748
ETHUSDT,2025-03-03T00:00:00+00:00,2025-03-03T23:59:59.999000+00:00,2025-03-04T00:00:00.999000+00:00,2518.12,2523.56,2097.91,2149.01,1109565.2003
ETHUSDT,2025-03-04T00:00:00+00:00,2025-03-04T23:59:59.999000+00:00,2025-03-05T00:00:00.999000+00:00,2149.02,2221.88,1993.2,2171.51,1257822.3372
ETHUSDT,2025-03-05T00:00:00+00:00,2025-03-05T23:59:59.999000+00:00,2025-03-06T00:00:00.999000+00:00,2171.5,2273.51,2155.03,2241.59,687130.7897
ETHUSDT,2025-03-06T00:00:00+00:00,2025-03-06T23:59:59.999000+00:00,2025-03-07T00:00:00.999000+00:00,2241.59,2319.99,2176.9,2202.2,596908.3935
ETHUSDT,2025-03-07T00:00:00+00:00,2025-03-07T23:59:59.999000+00:00,2025-03-08T00:00:00.999000+00:00,2202.21,2258.47,2101.82,2141.6,782387.2606
ETHUSDT,2025-03-08T00:00:00+00:00,2025-03-08T23:59:59.999000+00:00,2025-03-09T00:00:00.999000+00:00,2141.6,2234.93,2105.06,2203.58,328793.0979
ETHUSDT,2025-03-09T00:00:00+00:00,2025-03-09T23:59:59.999000+00:00,2025-03-10T00:00:00.999000+00:00,2203.57,2212.0,1989.66,2020.41,601671.5882
ETHUSDT,2025-03-10T00:00:00+00:00,2025-03-10T23:59:59.999000+00:00,2025-03-11T00:00:00.999000+00:00,2020.43,2152.4,1810.01,1865.1,1248745.3514
ETHUSDT,2025-03-11T00:00:00+00:00,2025-03-11T23:59:59.999000+00:00,2025-03-12T00:00:00.999000+00:00,1865.11,1963.2,1754.28,1923.43,1171427.9995
ETHUSDT,2025-03-12T00:00:00+00:00,2025-03-12T23:59:59.999000+00:00,2025-03-13T00:00:00.999000+00:00,1923.42,1960.0,1829.72,1908.2,788739.6763
ETHUSDT,2025-03-13T00:00:00+00:00,2025-03-13T23:59:59.999000+00:00,2025-03-14T00:00:00.999000+00:00,1908.2,1923.09,1821.81,1864.59,569537.2622
ETHUSDT,2025-03-14T00:00:00+00:00,2025-03-14T23:59:59.999000+00:00,2025-03-15T00:00:00.999000+00:00,1864.59,1945.64,1861.31,1911.65,375805.7355
ETHUSDT,2025-03-15T00:00:00+00:00,2025-03-15T23:59:59.999000+00:00,2025-03-16T00:00:00.999000+00:00,1911.64,1957.19,1903.75,1937.17,209545.8675
ETHUSDT,2025-03-16T00:00:00+00:00,2025-03-16T23:59:59.999000+00:00,2025-03-17T00:00:00.999000+00:00,1937.18,1940.87,1860.38,1887.0,324766.6564
ETHUSDT,2025-03-17T00:00:00+00:00,2025-03-17T23:59:59.999000+00:00,2025-03-18T00:00:00.999000+00:00,1887.01,1952.4,1879.98,1926.31,334840.4877
ETHUSDT,2025-03-18T00:00:00+00:00,2025-03-18T23:59:59.999000+00:00,2025-03-19T00:00:00.999000+00:00,1926.3,1936.2,1872.31,1931.54,332896.0155
ETHUSDT,2025-03-19T00:00:00+00:00,2025-03-19T23:59:59.999000+00:00,2025-03-20T00:00:00.999000+00:00,1931.54,2069.9,1927.58,2056.06,691809.5034
ETHUSDT,2025-03-20T00:00:00+00:00,2025-03-20T23:59:59.999000+00:00,2025-03-21T00:00:00.999000+00:00,2056.05,2067.9,1952.17,1983.79,401518.9282
ETHUSDT,2025-03-21T00:00:00+00:00,2025-03-21T23:59:59.999000+00:00,2025-03-22T00:00:00.999000+00:00,1983.79,1996.73,1937.1,1965.75,262641.659
ETHUSDT,2025-03-22T00:00:00+00:00,2025-03-22T23:59:59.999000+00:00,2025-03-23T00:00:00.999000+00:00,1965.74,2006.61,1964.34,1980.69,170782.9574
ETHUSDT,2025-03-23T00:00:00+00:00,2025-03-23T23:59:59.999000+00:00,2025-03-24T00:00:00.999000+00:00,1980.68,2020.74,1976.81,2005.99,268707.5233
ETHUSDT,2025-03-24T00:00:00+00:00,2025-03-24T23:59:59.999000+00:00,2025-03-25T00:00:00.999000+00:00,2005.99,2104.11,1977.67,2081.2,477912.8154
ETHUSDT,2025-03-25T00:00:00+00:00,2025-03-25T23:59:59.999000+00:00,2025-03-26T00:00:00.999000+00:00,2081.2,2097.7,2037.08,2066.15,328765.3292
ETHUSDT,2025-03-26T00:00:00+00:00,2025-03-26T23:59:59.999000+00:00,2025-03-27T00:00:00.999000+00:00,2066.16,2079.21,1981.6,2009.52,428975.3286
ETHUSDT,2025-03-27T00:00:00+00:00,2025-03-27T23:59:59.999000+00:00,2025-03-28T00:00:00.999000+00:00,2009.52,2037.38,1987.06,2003.66,360634.8383
ETHUSDT,2025-03-28T00:00:00+00:00,2025-03-28T23:59:59.999000+00:00,2025-03-29T00:00:00.999000+00:00,2003.67,2015.93,1860.0,1896.9,626167.5832
ETHUSDT,2025-03-29T00:00:00+00:00,2025-03-29T23:59:59.999000+00:00,2025-03-30T00:00:00.999000+00:00,1896.9,1913.6,1797.2,1828.08,409769.7555
ETHUSDT,2025-03-30T00:00:00+00:00,2025-03-30T23:59:59.999000+00:00,2025-03-31T00:00:00.999000+00:00,1828.09,1849.01,1767.69,1807.74,327843.4476
ETHUSDT,2025-03-31T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00.999000+00:00,1807.74,1854.22,1776.75,1822.43,497854.9052
ETHUSDT,2025-04-01T00:00:00+00:00,2025-04-01T23:59:59.999000+00:00,2025-04-02T00:00:00.999000+00:00,1822.43,1927.9,1817.88,1904.98,452989.0974
ETHUSDT,2025-04-02T00:00:00+00:00,2025-04-02T23:59:59.999000+00:00,2025-04-03T00:00:00.999000+00:00,1904.98,1957.0,1781.53,1795.22,750840.7823
ETHUSDT,2025-04-03T00:00:00+00:00,2025-04-03T23:59:59.999000+00:00,2025-04-04T00:00:00.999000+00:00,1795.21,1845.26,1750.0,1817.23,508075.018
ETHUSDT,2025-04-04T00:00:00+00:00,2025-04-04T23:59:59.999000+00:00,2025-04-05T00:00:00.999000+00:00,1817.23,1835.68,1758.72,1816.87,572734.4702
ETHUSDT,2025-04-05T00:00:00+00:00,2025-04-05T23:59:59.999000+00:00,2025-04-06T00:00:00.999000+00:00,1816.88,1827.29,1764.39,1806.01,201716.2696
ETHUSDT,2025-04-06T00:00:00+00:00,2025-04-06T23:59:59.999000+00:00,2025-04-07T00:00:00.999000+00:00,1806.02,1817.0,1537.5,1580.76,979847.0958
ETHUSDT,2025-04-07T00:00:00+00:00,2025-04-07T23:59:59.999000+00:00,2025-04-08T00:00:00.999000+00:00,1580.77,1639.0,1411.01,1553.04,2168796.0067
ETHUSDT,2025-04-08T00:00:00+00:00,2025-04-08T23:59:59.999000+00:00,2025-04-09T00:00:00.999000+00:00,1553.04,1618.67,1441.3,1473.41,891846.1327
ETHUSDT,2025-04-09T00:00:00+00:00,2025-04-09T23:59:59.999000+00:00,2025-04-10T00:00:00.999000+00:00,1473.41,1689.0,1385.05,1669.51,1968530.9138
ETHUSDT,2025-04-10T00:00:00+00:00,2025-04-10T23:59:59.999000+00:00,2025-04-11T00:00:00.999000+00:00,1669.51,1669.85,1471.02,1522.25,911855.3934
ETHUSDT,2025-04-11T00:00:00+00:00,2025-04-11T23:59:59.999000+00:00,2025-04-12T00:00:00.999000+00:00,1522.24,1591.47,1504.63,1566.85,578484.3183
ETHUSDT,2025-04-12T00:00:00+00:00,2025-04-12T23:59:59.999000+00:00,2025-04-13T00:00:00.999000+00:00,1566.85,1669.59,1546.06,1644.18,501867.9033
ETHUSDT,2025-04-13T00:00:00+00:00,2025-04-13T23:59:59.999000+00:00,2025-04-14T00:00:00.999000+00:00,1644.19,1649.75,1562.01,1597.76,580136.6145
ETHUSDT,2025-04-14T00:00:00+00:00,2025-04-14T23:59:59.999000+00:00,2025-04-15T00:00:00.999000+00:00,1597.76,1691.5,1595.56,1623.77,645930.1419
ETHUSDT,2025-04-15T00:00:00+00:00,2025-04-15T23:59:59.999000+00:00,2025-04-16T00:00:00.999000+00:00,1623.78,1661.21,1583.12,1588.78,476178.8915
ETHUSDT,2025-04-16T00:00:00+00:00,2025-04-16T23:59:59.999000+00:00,2025-04-17T00:00:00.999000+00:00,1588.77,1613.66,1538.07,1577.14,611387.8686
ETHUSDT,2025-04-17T00:00:00+00:00,2025-04-17T23:59:59.999000+00:00,2025-04-18T00:00:00.999000+00:00,1577.15,1616.96,1563.2,1583.62,449870.3628
ETHUSDT,2025-04-18T00:00:00+00:00,2025-04-18T23:59:59.999000+00:00,2025-04-19T00:00:00.999000+00:00,1583.63,1600.64,1573.54,1588.6,200409.0359
ETHUSDT,2025-04-19T00:00:00+00:00,2025-04-19T23:59:59.999000+00:00,2025-04-20T00:00:00.999000+00:00,1588.6,1631.81,1585.01,1613.27,223096.3899
ETHUSDT,2025-04-20T00:00:00+00:00,2025-04-20T23:59:59.999000+00:00,2025-04-21T00:00:00.999000+00:00,1613.26,1619.19,1565.59,1587.36,276052.2306
ETHUSDT,2025-04-21T00:00:00+00:00,2025-04-21T23:59:59.999000+00:00,2025-04-22T00:00:00.999000+00:00,1587.36,1658.75,1564.07,1579.57,691486.6667
ETHUSDT,2025-04-22T00:00:00+00:00,2025-04-22T23:59:59.999000+00:00,2025-04-23T00:00:00.999000+00:00,1579.57,1778.0,1537.26,1756.26,1103036.9586
ETHUSDT,2025-04-23T00:00:00+00:00,2025-04-23T23:59:59.999000+00:00,2025-04-24T00:00:00.999000+00:00,1756.25,1834.86,1744.95,1795.07,887545.6316
ETHUSDT,2025-04-24T00:00:00+00:00,2025-04-24T23:59:59.999000+00:00,2025-04-25T00:00:00.999000+00:00,1795.08,1802.82,1722.9,1769.65,483465.0385
ETHUSDT,2025-04-25T00:00:00+00:00,2025-04-25T23:59:59.999000+00:00,2025-04-26T00:00:00.999000+00:00,1769.64,1827.32,1738.6,1784.6,595610.8894
ETHUSDT,2025-04-26T00:00:00+00:00,2025-04-26T23:59:59.999000+00:00,2025-04-27T00:00:00.999000+00:00,1784.6,1841.16,1778.94,1820.88,355068.0442
ETHUSDT,2025-04-27T00:00:00+00:00,2025-04-27T23:59:59.999000+00:00,2025-04-28T00:00:00.999000+00:00,1820.87,1857.47,1781.9,1791.29,340332.6435
ETHUSDT,2025-04-28T00:00:00+00:00,2025-04-28T23:59:59.999000+00:00,2025-04-29T00:00:00.999000+00:00,1791.29,1827.98,1744.71,1799.88,587269.743
ETHUSDT,2025-04-29T00:00:00+00:00,2025-04-29T23:59:59.999000+00:00,2025-04-30T00:00:00.999000+00:00,1799.88,1842.99,1780.47,1797.81,480456.3884
ETHUSDT,2025-04-30T00:00:00+00:00,2025-04-30T23:59:59.999000+00:00,2025-05-01T00:00:00.999000+00:00,1797.81,1816.8,1731.7,1793.61,473523.9877
ETHUSDT,2025-05-01T00:00:00+00:00,2025-05-01T23:59:59.999000+00:00,2025-05-02T00:00:00.999000+00:00,1793.62,1873.17,1792.52,1838.11,537198.7291
ETHUSDT,2025-05-02T00:00:00+00:00,2025-05-02T23:59:59.999000+00:00,2025-05-03T00:00:00.999000+00:00,1838.1,1871.0,1813.0,1842.2,410667.875
ETHUSDT,2025-05-03T00:00:00+00:00,2025-05-03T23:59:59.999000+00:00,2025-05-04T00:00:00.999000+00:00,1842.2,1848.6,1810.0,1833.52,213751.5979
ETHUSDT,2025-05-04T00:00:00+00:00,2025-05-04T23:59:59.999000+00:00,2025-05-05T00:00:00.999000+00:00,1833.52,1849.95,1803.0,1808.86,238254.3564
ETHUSDT,2025-05-05T00:00:00+00:00,2025-05-05T23:59:59.999000+00:00,2025-05-06T00:00:00.999000+00:00,1808.86,1833.55,1781.85,1820.19,342341.0078
ETHUSDT,2025-05-06T00:00:00+00:00,2025-05-06T23:59:59.999000+00:00,2025-05-07T00:00:00.999000+00:00,1820.19,1820.9,1752.0,1817.0,384584.2451
ETHUSDT,2025-05-07T00:00:00+00:00,2025-05-07T23:59:59.999000+00:00,2025-05-08T00:00:00.999000+00:00,1817.0,1850.0,1787.01,1811.11,456170.0705
ETHUSDT,2025-05-08T00:00:00+00:00,2025-05-08T23:59:59.999000+00:00,2025-05-09T00:00:00.999000+00:00,1811.11,2226.0,1808.71,2207.39,1473152.686
ETHUSDT,2025-05-09T00:00:00+00:00,2025-05-09T23:59:59.999000+00:00,2025-05-10T00:00:00.999000+00:00,2207.39,2490.77,2184.33,2345.04,1667041.0382
ETHUSDT,2025-05-10T00:00:00+00:00,2025-05-10T23:59:59.999000+00:00,2025-05-11T00:00:00.999000+00:00,2345.04,2600.0,2317.0,2583.23,979350.1606
ETHUSDT,2025-05-11T00:00:00+00:00,2025-05-11T23:59:59.999000+00:00,2025-05-12T00:00:00.999000+00:00,2583.22,2608.13,2435.51,2514.57,831584.3888
ETHUSDT,2025-05-12T00:00:00+00:00,2025-05-12T23:59:59.999000+00:00,2025-05-13T00:00:00.999000+00:00,2514.58,2624.0,2406.63,2495.47,1068680.9433
ETHUSDT,2025-05-13T00:00:00+00:00,2025-05-13T23:59:59.999000+00:00,2025-05-14T00:00:00.999000+00:00,2495.48,2738.5,2415.3,2679.71,1031355.6465
ETHUSDT,2025-05-14T00:00:00+00:00,2025-05-14T23:59:59.999000+00:00,2025-05-15T00:00:00.999000+00:00,2679.71,2725.99,2547.26,2609.74,830047.1122
ETHUSDT,2025-05-15T00:00:00+00:00,2025-05-15T23:59:59.999000+00:00,2025-05-16T00:00:00.999000+00:00,2609.75,2647.03,2476.03,2548.69,768954.0332
ETHUSDT,2025-05-16T00:00:00+00:00,2025-05-16T23:59:59.999000+00:00,2025-05-17T00:00:00.999000+00:00,2548.7,2649.31,2529.4,2537.12,605953.6919
ETHUSDT,2025-05-17T00:00:00+00:00,2025-05-17T23:59:59.999000+00:00,2025-05-18T00:00:00.999000+00:00,2537.13,2538.16,2446.42,2475.08,494333.2782
ETHUSDT,2025-05-18T00:00:00+00:00,2025-05-18T23:59:59.999000+00:00,2025-05-19T00:00:00.999000+00:00,2475.09,2587.61,2323.21,2497.78,810103.1851
ETHUSDT,2025-05-19T00:00:00+00:00,2025-05-19T23:59:59.999000+00:00,2025-05-20T00:00:00.999000+00:00,2497.78,2547.36,2348.38,2528.14,861747.523
ETHUSDT,2025-05-20T00:00:00+00:00,2025-05-20T23:59:59.999000+00:00,2025-05-21T00:00:00.999000+00:00,2528.14,2588.63,2442.4,2524.19,676989.1747
ETHUSDT,2025-05-21T00:00:00+00:00,2025-05-21T23:59:59.999000+00:00,2025-05-22T00:00:00.999000+00:00,2524.19,2615.95,2452.2,2550.99,1095890.2902
ETHUSDT,2025-05-22T00:00:00+00:00,2025-05-22T23:59:59.999000+00:00,2025-05-23T00:00:00.999000+00:00,2551.0,2692.99,2544.83,2664.82,852555.6669
ETHUSDT,2025-05-23T00:00:00+00:00,2025-05-23T23:59:59.999000+00:00,2025-05-24T00:00:00.999000+00:00,2664.83,2734.23,2498.3,2526.5,971442.4532
ETHUSDT,2025-05-24T00:00:00+00:00,2025-05-24T23:59:59.999000+00:00,2025-05-25T00:00:00.999000+00:00,2526.49,2575.85,2515.08,2530.4,257544.2344
ETHUSDT,2025-05-25T00:00:00+00:00,2025-05-25T23:59:59.999000+00:00,2025-05-26T00:00:00.999000+00:00,2530.41,2554.26,2463.0,2551.22,359890.0299
ETHUSDT,2025-05-26T00:00:00+00:00,2025-05-26T23:59:59.999000+00:00,2025-05-27T00:00:00.999000+00:00,2551.22,2599.0,2525.86,2563.7,362971.1182
ETHUSDT,2025-05-27T00:00:00+00:00,2025-05-27T23:59:59.999000+00:00,2025-05-28T00:00:00.999000+00:00,2563.7,2712.36,2509.46,2660.81,798430.8862
ETHUSDT,2025-05-28T00:00:00+00:00,2025-05-28T23:59:59.999000+00:00,2025-05-29T00:00:00.999000+00:00,2660.81,2689.14,2608.5,2681.6,560095.6833
ETHUSDT,2025-05-29T00:00:00+00:00,2025-05-29T23:59:59.999000+00:00,2025-05-30T00:00:00.999000+00:00,2681.61,2788.0,2619.05,2631.39,811567.2545
ETHUSDT,2025-05-30T00:00:00+00:00,2025-05-30T23:59:59.999000+00:00,2025-05-31T00:00:00.999000+00:00,2631.39,2649.23,2507.35,2531.34,763045.2564
ETHUSDT,2025-05-31T00:00:00+00:00,2025-05-31T23:59:59.999000+00:00,2025-06-01T00:00:00.999000+00:00,2531.35,2550.34,2475.33,2528.06,394537.2521
ETHUSDT,2025-06-01T00:00:00+00:00,2025-06-01T23:59:59.999000+00:00,2025-06-02T00:00:00.999000+00:00,2528.06,2547.79,2468.56,2539.21,332021.7088
ETHUSDT,2025-06-02T00:00:00+00:00,2025-06-02T23:59:59.999000+00:00,2025-06-03T00:00:00.999000+00:00,2539.2,2615.0,2475.0,2607.41,468889.9737
